LedgerLineId,PostingDate,FinancialMonth,CostCentreCode,AccountCode,AccountDescription,SpendType,AmountGBP,Description,SourceDocumentRef
LW-00001864,2025-11-19,2025-11,CC-MH-210,6100,Agency nursing,pay,1127.77,Demo posting Agency nursing,DEMO-INV-11605
LW-00001865,2025-11-26,2025-11,CC-DEN-115,6200,Bank staff,pay,2060.5,Demo posting Bank staff,DEMO-INV-18911
LW-00001866,2025-11-22,2025-11,CC-PAL-330,6100,Agency nursing,pay,371.54,Demo posting Agency nursing,DEMO-INV-71330
LW-00001867,2025-11-10,2025-11,CC-DEN-115,6100,Agency nursing,pay,1449.65,Demo posting Agency nursing,DEMO-INV-78301
LW-00001868,2025-11-13,2025-11,CC-URG-401,7100,Medical supplies,non-pay,1473.33,Demo posting Medical supplies,DEMO-INV-58645
LW-00001869,2025-11-21,2025-11,CC-PAL-330,6200,Bank staff,pay,1463.86,Demo posting Bank staff,DEMO-INV-51261
LW-00001870,2025-11-17,2025-11,CC-CORP-900,7100,Medical supplies,non-pay,2215.64,Demo posting Medical supplies,DEMO-INV-69338
LW-00001871,2025-11-08,2025-11,CC-DEN-115,6200,Bank staff,pay,1225.43,Demo posting Bank staff,DEMO-INV-56511
LW-00001872,2025-11-23,2025-11,CC-PAL-330,7200,Equipment,non-pay,2096.67,Demo posting Equipment,DEMO-INV-77366
LW-00001873,2025-11-23,2025-11,CC-PAL-330,6100,Agency nursing,pay,1069.63,Demo posting Agency nursing,DEMO-INV-63682
LW-00001874,2025-11-19,2025-11,CC-MH-210,6200,Bank staff,pay,2278.82,Demo posting Bank staff,DEMO-INV-41791
LW-00001875,2025-11-29,2025-11,CC-CORP-900,6100,Agency nursing,pay,1072.87,Demo posting Agency nursing,DEMO-INV-41516
LW-00001876,2025-11-07,2025-11,CC-DEN-115,6100,Agency nursing,pay,1716.64,Demo posting Agency nursing,DEMO-INV-25980
LW-00001877,2025-11-30,2025-11,CC-MH-210,7100,Medical supplies,non-pay,1104.81,Demo posting Medical supplies,DEMO-INV-30067
LW-00001878,2025-11-28,2025-11,CC-URG-401,6100,Agency nursing,pay,1970.12,Demo posting Agency nursing,DEMO-INV-86075
LW-00001879,2025-11-19,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,2112.38,Demo posting Medical supplies,DEMO-INV-87925
LW-00001880,2025-11-26,2025-11,CC-DEN-115,7200,Equipment,non-pay,588.43,Demo posting Equipment,DEMO-INV-10698
LW-00001881,2025-11-19,2025-11,CC-CORP-900,7200,Equipment,non-pay,1793.3,Demo posting Equipment,DEMO-INV-99522
LW-00001882,2025-11-11,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,2438.91,Demo posting Medical supplies,DEMO-INV-50292
LW-00001883,2025-11-25,2025-11,CC-URG-401,6100,Agency nursing,pay,2299.29,Demo posting Agency nursing,DEMO-INV-85705
LW-00001884,2025-11-17,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,1579.88,Demo posting Medical supplies,DEMO-INV-39667
LW-00001885,2025-11-22,2025-11,CC-URG-401,7100,Medical supplies,non-pay,2136.77,Demo posting Medical supplies,DEMO-INV-56452
LW-00001886,2025-11-09,2025-11,CC-CORP-900,6100,Agency nursing,pay,348.18,Demo posting Agency nursing,DEMO-INV-72211
LW-00001887,2025-11-05,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,570.09,Demo posting Medical supplies,DEMO-INV-12938
LW-00001888,2025-11-02,2025-11,CC-URG-401,7100,Medical supplies,non-pay,1398.33,Demo posting Medical supplies,DEMO-INV-58014
LW-00001889,2025-11-17,2025-11,CC-URG-401,7200,Equipment,non-pay,161.38,Demo posting Equipment,DEMO-INV-43986
LW-00001890,2025-11-05,2025-11,CC-DEN-115,6100,Agency nursing,pay,1671.43,Demo posting Agency nursing,DEMO-INV-15080
LW-00001891,2025-11-12,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,1383.82,Demo posting Medical supplies,DEMO-INV-53583
LW-00001892,2025-11-18,2025-11,CC-URG-401,6100,Agency nursing,pay,2171.84,Demo posting Agency nursing,DEMO-INV-71901
LW-00001893,2025-11-28,2025-11,CC-MH-210,6100,Agency nursing,pay,790.4,Demo posting Agency nursing,DEMO-INV-47318
LW-00001894,2025-11-04,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,1030.36,Demo posting Medical supplies,DEMO-INV-78129
LW-00001895,2025-11-21,2025-11,CC-MH-210,6100,Agency nursing,pay,1840.86,Demo posting Agency nursing,DEMO-INV-93498
LW-00001896,2025-11-28,2025-11,CC-MH-210,7200,Equipment,non-pay,1948.41,Demo posting Equipment,DEMO-INV-49898
LW-00001897,2025-11-10,2025-11,CC-DEN-115,7200,Equipment,non-pay,662.61,Demo posting Equipment,DEMO-INV-67032
LW-00001898,2025-11-17,2025-11,CC-MH-210,7100,Medical supplies,non-pay,179.19,Demo posting Medical supplies,DEMO-INV-95074
LW-00001899,2025-11-10,2025-11,CC-DEN-115,7200,Equipment,non-pay,2196.09,Demo posting Equipment,DEMO-INV-62809
LW-00001900,2025-11-02,2025-11,CC-DEN-115,6200,Bank staff,pay,172.95,Demo posting Bank staff,DEMO-INV-97598
LW-00001901,2025-11-13,2025-11,CC-MH-210,6100,Agency nursing,pay,423.69,Demo posting Agency nursing,DEMO-INV-79992
LW-00001902,2025-11-15,2025-11,CC-URG-401,6100,Agency nursing,pay,478.22,Demo posting Agency nursing,DEMO-INV-22922
LW-00001903,2025-11-03,2025-11,CC-MH-210,7100,Medical supplies,non-pay,1782.67,Demo posting Medical supplies,DEMO-INV-60942
LW-00001904,2025-11-12,2025-11,CC-MH-210,7200,Equipment,non-pay,2382.15,Demo posting Equipment,DEMO-INV-32248
LW-00001905,2025-11-30,2025-11,CC-MH-210,6200,Bank staff,pay,1444.73,Demo posting Bank staff,DEMO-INV-35903
LW-00001906,2025-11-09,2025-11,CC-DEN-115,6200,Bank staff,pay,1729.92,Demo posting Bank staff,DEMO-INV-71122
LW-00001907,2025-11-21,2025-11,CC-URG-401,7100,Medical supplies,non-pay,1419.58,Demo posting Medical supplies,DEMO-INV-74293
LW-00001908,2025-11-16,2025-11,CC-DEN-115,6200,Bank staff,pay,942.12,Demo posting Bank staff,DEMO-INV-99349
LW-00001909,2025-11-14,2025-11,CC-PAL-330,6200,Bank staff,pay,740.14,Demo posting Bank staff,DEMO-INV-47485
LW-00001910,2025-11-20,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,307.87,Demo posting Medical supplies,DEMO-INV-45204
LW-00001911,2025-11-02,2025-11,CC-MH-210,7200,Equipment,non-pay,1280.17,Demo posting Equipment,DEMO-INV-15090
LW-00001912,2025-11-04,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,1038.17,Demo posting Medical supplies,DEMO-INV-29388
LW-00001913,2025-11-29,2025-11,CC-MH-210,6200,Bank staff,pay,2353.79,Demo posting Bank staff,DEMO-INV-36502
LW-00001914,2025-11-30,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,2322.0,Demo posting Medical supplies,DEMO-INV-22633
LW-00001915,2025-11-17,2025-11,CC-PAL-330,7200,Equipment,non-pay,1657.71,Demo posting Equipment,DEMO-INV-90660
LW-00001916,2025-11-15,2025-11,CC-CORP-900,6200,Bank staff,pay,1566.68,Demo posting Bank staff,DEMO-INV-90741
LW-00001917,2025-11-27,2025-11,CC-MH-210,7100,Medical supplies,non-pay,104.39,Demo posting Medical supplies,DEMO-INV-28856
LW-00001918,2025-11-06,2025-11,CC-CORP-900,6200,Bank staff,pay,1182.29,Demo posting Bank staff,DEMO-INV-57504
LW-00001919,2025-11-08,2025-11,CC-MH-210,7100,Medical supplies,non-pay,2032.98,Demo posting Medical supplies,DEMO-INV-60721
LW-00001920,2025-11-24,2025-11,CC-PAL-330,6100,Agency nursing,pay,1822.76,Demo posting Agency nursing,DEMO-INV-46147
LW-00001921,2025-11-09,2025-11,CC-PAL-330,6100,Agency nursing,pay,2098.2,Demo posting Agency nursing,DEMO-INV-38442
LW-00001922,2025-11-26,2025-11,CC-CORP-900,6200,Bank staff,pay,639.88,Demo posting Bank staff,DEMO-INV-51861
LW-00001923,2025-11-30,2025-11,CC-DEN-115,7200,Equipment,non-pay,872.68,Demo posting Equipment,DEMO-INV-92585
LW-00001924,2025-11-18,2025-11,CC-CORP-900,7100,Medical supplies,non-pay,815.23,Demo posting Medical supplies,DEMO-INV-26228
LW-00001925,2025-11-10,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,1710.54,Demo posting Medical supplies,DEMO-INV-63114
LW-00001926,2025-11-02,2025-11,CC-DEN-115,7200,Equipment,non-pay,819.71,Demo posting Equipment,DEMO-INV-56860
LW-00001927,2025-11-02,2025-11,CC-DEN-115,6200,Bank staff,pay,1926.96,Demo posting Bank staff,DEMO-INV-97171
LW-00001928,2025-11-03,2025-11,CC-MH-210,6100,Agency nursing,pay,1837.0,Demo posting Agency nursing,DEMO-INV-26485
LW-00001929,2025-11-13,2025-11,CC-URG-401,6100,Agency nursing,pay,1823.0,Demo posting Agency nursing,DEMO-INV-17373
LW-00001930,2025-11-21,2025-11,CC-URG-401,7200,Equipment,non-pay,1746.76,Demo posting Equipment,DEMO-INV-30579
LW-00001931,2025-11-10,2025-11,CC-URG-401,7200,Equipment,non-pay,1924.6,Demo posting Equipment,DEMO-INV-53377
LW-00001932,2025-11-14,2025-11,CC-CORP-900,7100,Medical supplies,non-pay,924.53,Demo posting Medical supplies,DEMO-INV-32399
LW-00001933,2025-11-05,2025-11,CC-URG-401,7200,Equipment,non-pay,1743.42,Demo posting Equipment,DEMO-INV-97135
LW-00001934,2025-11-02,2025-11,CC-URG-401,7100,Medical supplies,non-pay,627.23,Demo posting Medical supplies,DEMO-INV-87461
LW-00001935,2025-11-26,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,1805.04,Demo posting Medical supplies,DEMO-INV-69352
LW-00001936,2025-11-09,2025-11,CC-URG-401,7200,Equipment,non-pay,874.26,Demo posting Equipment,DEMO-INV-38956
LW-00001937,2025-11-03,2025-11,CC-DEN-115,6100,Agency nursing,pay,1660.22,Demo posting Agency nursing,DEMO-INV-80410
LW-00001938,2025-11-27,2025-11,CC-DEN-115,7200,Equipment,non-pay,222.31,Demo posting Equipment,DEMO-INV-68421
LW-00001939,2025-11-24,2025-11,CC-CORP-900,7200,Equipment,non-pay,1880.94,Demo posting Equipment,DEMO-INV-50048
LW-00001940,2025-11-27,2025-11,CC-URG-401,6100,Agency nursing,pay,75.87,Demo posting Agency nursing,DEMO-INV-18393
LW-00001941,2025-11-06,2025-11,CC-PAL-330,6100,Agency nursing,pay,1380.99,Demo posting Agency nursing,DEMO-INV-32121
LW-00001942,2025-11-14,2025-11,CC-DEN-115,6200,Bank staff,pay,975.77,Demo posting Bank staff,DEMO-INV-59077
LW-00001943,2025-11-13,2025-11,CC-URG-401,7100,Medical supplies,non-pay,1987.27,Demo posting Medical supplies,DEMO-INV-75886
LW-00001944,2025-11-09,2025-11,CC-URG-401,6200,Bank staff,pay,1819.68,Demo posting Bank staff,DEMO-INV-55377
LW-00001945,2025-11-02,2025-11,CC-CORP-900,6100,Agency nursing,pay,466.96,Demo posting Agency nursing,DEMO-INV-37045
LW-00001946,2025-11-19,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,342.13,Demo posting Medical supplies,DEMO-INV-98140
LW-00001947,2025-11-25,2025-11,CC-CORP-900,6200,Bank staff,pay,1715.44,Demo posting Bank staff,DEMO-INV-47963
LW-00001948,2025-11-03,2025-11,CC-CORP-900,7200,Equipment,non-pay,1855.53,Demo posting Equipment,DEMO-INV-13899
LW-00001949,2025-11-06,2025-11,CC-URG-401,7200,Equipment,non-pay,839.39,Demo posting Equipment,DEMO-INV-55163
LW-00001950,2025-11-28,2025-11,CC-MH-210,7100,Medical supplies,non-pay,1504.22,Demo posting Medical supplies,DEMO-INV-91733
LW-00001951,2025-11-19,2025-11,CC-DEN-115,6200,Bank staff,pay,436.0,Demo posting Bank staff,DEMO-INV-18696
LW-00001952,2025-11-18,2025-11,CC-URG-401,6100,Agency nursing,pay,542.78,Demo posting Agency nursing,DEMO-INV-94519
LW-00001953,2025-11-23,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,1630.08,Demo posting Medical supplies,DEMO-INV-87439
LW-00001954,2025-11-06,2025-11,CC-MH-210,7200,Equipment,non-pay,888.73,Demo posting Equipment,DEMO-INV-27293
LW-00001955,2025-11-21,2025-11,CC-CORP-900,6100,Agency nursing,pay,495.91,Demo posting Agency nursing,DEMO-INV-50096
LW-00001956,2025-11-25,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,421.05,Demo posting Medical supplies,DEMO-INV-16423
LW-00001957,2025-11-03,2025-11,CC-PAL-330,7200,Equipment,non-pay,1343.9,Demo posting Equipment,DEMO-INV-60331
LW-00001958,2025-11-10,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,126.09,Demo posting Medical supplies,DEMO-INV-59394
LW-00001959,2025-11-07,2025-11,CC-URG-401,6100,Agency nursing,pay,1586.07,Demo posting Agency nursing,DEMO-INV-59219
LW-00001960,2025-11-01,2025-11,CC-PAL-330,7200,Equipment,non-pay,2301.75,Demo posting Equipment,DEMO-INV-52888
LW-00001961,2025-11-15,2025-11,CC-PAL-330,7200,Equipment,non-pay,1002.86,Demo posting Equipment,DEMO-INV-45565
LW-00001962,2025-11-29,2025-11,CC-DEN-115,6100,Agency nursing,pay,1912.98,Demo posting Agency nursing,DEMO-INV-18408
LW-00001963,2025-11-12,2025-11,CC-DEN-115,7200,Equipment,non-pay,1564.24,Demo posting Equipment,DEMO-INV-74653
LW-00001964,2025-11-17,2025-11,CC-URG-401,7100,Medical supplies,non-pay,1558.79,Demo posting Medical supplies,DEMO-INV-56482
LW-00001965,2025-11-22,2025-11,CC-URG-401,7100,Medical supplies,non-pay,652.58,Demo posting Medical supplies,DEMO-INV-65935
LW-00001966,2025-11-25,2025-11,CC-URG-401,7100,Medical supplies,non-pay,311.66,Demo posting Medical supplies,DEMO-INV-48120
LW-00001967,2025-11-28,2025-11,CC-MH-210,7100,Medical supplies,non-pay,946.32,Demo posting Medical supplies,DEMO-INV-42548
LW-00001968,2025-11-29,2025-11,CC-CORP-900,6200,Bank staff,pay,160.2,Demo posting Bank staff,DEMO-INV-35599
LW-00001969,2025-11-10,2025-11,CC-URG-401,6100,Agency nursing,pay,2038.91,Demo posting Agency nursing,DEMO-INV-88952
LW-00001970,2025-11-10,2025-11,CC-MH-210,6200,Bank staff,pay,803.31,Demo posting Bank staff,DEMO-INV-13941
LW-00001971,2025-11-30,2025-11,CC-MH-210,7200,Equipment,non-pay,1933.2,Demo posting Equipment,DEMO-INV-10080
LW-00001972,2025-11-25,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,1195.0,Demo posting Medical supplies,DEMO-INV-61819
LW-00001973,2025-11-23,2025-11,CC-CORP-900,7100,Medical supplies,non-pay,831.66,Demo posting Medical supplies,DEMO-INV-64519
LW-00001974,2025-11-30,2025-11,CC-MH-210,6100,Agency nursing,pay,178.89,Demo posting Agency nursing,DEMO-INV-47895
LW-00001975,2025-11-12,2025-11,CC-DEN-115,7200,Equipment,non-pay,193.55,Demo posting Equipment,DEMO-INV-75889
LW-00001976,2025-11-11,2025-11,CC-PAL-330,7200,Equipment,non-pay,623.56,Demo posting Equipment,DEMO-INV-58038
LW-00001977,2025-11-30,2025-11,CC-CORP-900,6200,Bank staff,pay,1464.06,Demo posting Bank staff,DEMO-INV-35078
LW-00001978,2025-11-06,2025-11,CC-CORP-900,7100,Medical supplies,non-pay,1402.72,Demo posting Medical supplies,DEMO-INV-18631
LW-00001979,2025-11-26,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,1742.5,Demo posting Medical supplies,DEMO-INV-26809
LW-00001980,2025-11-24,2025-11,CC-URG-401,6200,Bank staff,pay,1166.92,Demo posting Bank staff,DEMO-INV-29213
LW-00001981,2025-11-26,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,765.45,Demo posting Medical supplies,DEMO-INV-84523
LW-00001982,2025-11-06,2025-11,CC-PAL-330,6200,Bank staff,pay,1370.27,Demo posting Bank staff,DEMO-INV-56340
LW-00001983,2025-11-17,2025-11,CC-DEN-115,7200,Equipment,non-pay,2240.58,Demo posting Equipment,DEMO-INV-79720
LW-00001984,2025-11-07,2025-11,CC-PAL-330,6200,Bank staff,pay,587.27,Demo posting Bank staff,DEMO-INV-66947
LW-00001985,2025-11-05,2025-11,CC-MH-210,7200,Equipment,non-pay,886.06,Demo posting Equipment,DEMO-INV-34107
LW-00001986,2025-11-18,2025-11,CC-URG-401,7200,Equipment,non-pay,1447.03,Demo posting Equipment,DEMO-INV-52552
LW-00001987,2025-11-09,2025-11,CC-CORP-900,6200,Bank staff,pay,1209.06,Demo posting Bank staff,DEMO-INV-65466
LW-00001988,2025-11-04,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,642.15,Demo posting Medical supplies,DEMO-INV-33942
LW-00001989,2025-11-06,2025-11,CC-CORP-900,6100,Agency nursing,pay,431.28,Demo posting Agency nursing,DEMO-INV-11615
LW-00001990,2025-11-09,2025-11,CC-URG-401,6200,Bank staff,pay,1618.67,Demo posting Bank staff,DEMO-INV-34098
LW-00001991,2025-11-08,2025-11,CC-MH-210,6100,Agency nursing,pay,2274.26,Demo posting Agency nursing,DEMO-INV-43921
LW-00001992,2025-11-19,2025-11,CC-MH-210,7100,Medical supplies,non-pay,1799.4,Demo posting Medical supplies,DEMO-INV-78143
LW-00001993,2025-11-20,2025-11,CC-DEN-115,6100,Agency nursing,pay,1354.01,Demo posting Agency nursing,DEMO-INV-58431
LW-00001994,2025-11-17,2025-11,CC-DEN-115,6200,Bank staff,pay,747.17,Demo posting Bank staff,DEMO-INV-27348
LW-00001995,2025-11-07,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,1723.41,Demo posting Medical supplies,DEMO-INV-39114
LW-00001996,2025-11-16,2025-11,CC-URG-401,6100,Agency nursing,pay,1426.46,Demo posting Agency nursing,DEMO-INV-77322
LW-00001997,2025-11-30,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,121.4,Demo posting Medical supplies,DEMO-INV-15160
LW-00001998,2025-11-18,2025-11,CC-URG-401,6100,Agency nursing,pay,126.71,Demo posting Agency nursing,DEMO-INV-82506
LW-00001999,2025-11-19,2025-11,CC-PAL-330,6200,Bank staff,pay,777.62,Demo posting Bank staff,DEMO-INV-25729
LW-00002000,2025-11-29,2025-11,CC-CORP-900,7200,Equipment,non-pay,2007.89,Demo posting Equipment,DEMO-INV-76148
LW-00002001,2025-11-01,2025-11,CC-URG-401,7100,Medical supplies,non-pay,527.75,Demo posting Medical supplies,DEMO-INV-70680
LW-00002002,2025-11-13,2025-11,CC-PAL-330,6200,Bank staff,pay,607.34,Demo posting Bank staff,DEMO-INV-68072
LW-00002003,2025-11-30,2025-11,CC-MH-210,7100,Medical supplies,non-pay,1924.47,Demo posting Medical supplies,DEMO-INV-55131
LW-00002004,2025-11-09,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,785.51,Demo posting Medical supplies,DEMO-INV-84113
LW-00002005,2025-11-24,2025-11,CC-MH-210,6100,Agency nursing,pay,530.03,Demo posting Agency nursing,DEMO-INV-16122
LW-00002006,2025-11-07,2025-11,CC-DEN-115,6100,Agency nursing,pay,1128.15,Demo posting Agency nursing,DEMO-INV-73000
LW-00002007,2025-11-05,2025-11,CC-MH-210,7100,Medical supplies,non-pay,2157.22,Demo posting Medical supplies,DEMO-INV-74586
LW-00002008,2025-11-04,2025-11,CC-MH-210,6100,Agency nursing,pay,1435.21,Demo posting Agency nursing,DEMO-INV-66075
LW-00002009,2025-11-29,2025-11,CC-CORP-900,6200,Bank staff,pay,69.47,Demo posting Bank staff,DEMO-INV-40102
LW-00002010,2025-11-30,2025-11,CC-MH-210,7100,Medical supplies,non-pay,1603.96,Demo posting Medical supplies,DEMO-INV-80201
LW-00002011,2025-11-27,2025-11,CC-PAL-330,7200,Equipment,non-pay,186.4,Demo posting Equipment,DEMO-INV-43528
LW-00002012,2025-11-26,2025-11,CC-URG-401,6100,Agency nursing,pay,1124.91,Demo posting Agency nursing,DEMO-INV-73828
LW-00002013,2025-11-29,2025-11,CC-PAL-330,7200,Equipment,non-pay,1605.85,Demo posting Equipment,DEMO-INV-22085
LW-00002014,2025-11-06,2025-11,CC-URG-401,7100,Medical supplies,non-pay,480.98,Demo posting Medical supplies,DEMO-INV-46802
LW-00002015,2025-11-01,2025-11,CC-PAL-330,6200,Bank staff,pay,761.71,Demo posting Bank staff,DEMO-INV-46272
LW-00002016,2025-11-07,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,2086.55,Demo posting Medical supplies,DEMO-INV-76852
LW-00002017,2025-11-10,2025-11,CC-MH-210,6100,Agency nursing,pay,1790.7,Demo posting Agency nursing,DEMO-INV-38162
LW-00002018,2025-11-02,2025-11,CC-CORP-900,6200,Bank staff,pay,303.36,Demo posting Bank staff,DEMO-INV-65613
LW-00002019,2025-11-25,2025-11,CC-PAL-330,7200,Equipment,non-pay,560.11,Demo posting Equipment,DEMO-INV-43704
LW-00002020,2025-11-17,2025-11,CC-MH-210,7200,Equipment,non-pay,1597.77,Demo posting Equipment,DEMO-INV-67662
LW-00002021,2025-11-25,2025-11,CC-CORP-900,6200,Bank staff,pay,997.96,Demo posting Bank staff,DEMO-INV-20433
LW-00002022,2025-11-01,2025-11,CC-DEN-115,6200,Bank staff,pay,432.19,Demo posting Bank staff,DEMO-INV-34711
LW-00002023,2025-11-03,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,1444.16,Demo posting Medical supplies,DEMO-INV-24554
LW-00002024,2025-11-13,2025-11,CC-CORP-900,6200,Bank staff,pay,709.71,Demo posting Bank staff,DEMO-INV-24528
LW-00002025,2025-11-25,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,1931.69,Demo posting Medical supplies,DEMO-INV-27241
LW-00002026,2025-11-11,2025-11,CC-PAL-330,6100,Agency nursing,pay,766.3,Demo posting Agency nursing,DEMO-INV-56219
LW-00002027,2025-11-25,2025-11,CC-PAL-330,6200,Bank staff,pay,73.71,Demo posting Bank staff,DEMO-INV-35878
LW-00002028,2025-11-21,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,962.98,Demo posting Medical supplies,DEMO-INV-63753
LW-00002029,2025-11-20,2025-11,CC-DEN-115,6100,Agency nursing,pay,114.53,Demo posting Agency nursing,DEMO-INV-40408
LW-00002030,2025-11-03,2025-11,CC-DEN-115,6100,Agency nursing,pay,784.71,Demo posting Agency nursing,DEMO-INV-49423
LW-00002031,2025-11-02,2025-11,CC-CORP-900,6200,Bank staff,pay,392.28,Demo posting Bank staff,DEMO-INV-69765
LW-00002032,2025-11-13,2025-11,CC-URG-401,6200,Bank staff,pay,2228.55,Demo posting Bank staff,DEMO-INV-51881
LW-00002033,2025-11-10,2025-11,CC-PAL-330,6200,Bank staff,pay,1064.21,Demo posting Bank staff,DEMO-INV-53957
LW-00002034,2025-11-12,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,64.24,Demo posting Medical supplies,DEMO-INV-98768
LW-00002035,2025-11-05,2025-11,CC-DEN-115,7200,Equipment,non-pay,420.34,Demo posting Equipment,DEMO-INV-31963
LW-00002036,2025-11-16,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,101.49,Demo posting Medical supplies,DEMO-INV-51075
LW-00002037,2025-11-29,2025-11,CC-CORP-900,7200,Equipment,non-pay,788.96,Demo posting Equipment,DEMO-INV-50796
LW-00002038,2025-11-15,2025-11,CC-URG-401,7200,Equipment,non-pay,1422.4,Demo posting Equipment,DEMO-INV-85273
LW-00002039,2025-11-21,2025-11,CC-DEN-115,7100,Medical supplies,non-pay,957.47,Demo posting Medical supplies,DEMO-INV-51900
LW-00002040,2025-11-01,2025-11,CC-MH-210,6200,Bank staff,pay,1462.16,Demo posting Bank staff,DEMO-INV-54662
LW-00002041,2025-11-21,2025-11,CC-CORP-900,6200,Bank staff,pay,1683.38,Demo posting Bank staff,DEMO-INV-79495
LW-00002042,2025-11-11,2025-11,CC-URG-401,6200,Bank staff,pay,1348.82,Demo posting Bank staff,DEMO-INV-75779
LW-00002043,2025-11-23,2025-11,CC-CORP-900,7100,Medical supplies,non-pay,1986.01,Demo posting Medical supplies,DEMO-INV-42171
LW-00002044,2025-11-07,2025-11,CC-CORP-900,7200,Equipment,non-pay,120.89,Demo posting Equipment,DEMO-INV-35539
LW-00002045,2025-11-01,2025-11,CC-CORP-900,6200,Bank staff,pay,1019.32,Demo posting Bank staff,DEMO-INV-95853
LW-00002046,2025-11-07,2025-11,CC-CORP-900,7200,Equipment,non-pay,737.96,Demo posting Equipment,DEMO-INV-89148
LW-00002047,2025-11-29,2025-11,CC-CORP-900,6100,Agency nursing,pay,2439.2,Demo posting Agency nursing,DEMO-INV-26420
LW-00002048,2025-11-16,2025-11,CC-PAL-330,6100,Agency nursing,pay,617.3,Demo posting Agency nursing,DEMO-INV-83202
LW-00002049,2025-11-12,2025-11,CC-MH-210,6100,Agency nursing,pay,1558.64,Demo posting Agency nursing,DEMO-INV-91628
LW-00002050,2025-11-03,2025-11,CC-URG-401,7200,Equipment,non-pay,1974.31,Demo posting Equipment,DEMO-INV-63615
LW-00002051,2025-11-08,2025-11,CC-URG-401,7100,Medical supplies,non-pay,225.97,Demo posting Medical supplies,DEMO-INV-63123
LW-00002052,2025-11-25,2025-11,CC-MH-210,7100,Medical supplies,non-pay,215.72,Demo posting Medical supplies,DEMO-INV-20526
LW-00002053,2025-11-04,2025-11,CC-CORP-900,7100,Medical supplies,non-pay,2271.0,Demo posting Medical supplies,DEMO-INV-22892
LW-00002054,2025-11-09,2025-11,CC-MH-210,6200,Bank staff,pay,1551.12,Demo posting Bank staff,DEMO-INV-89936
LW-00002055,2025-11-27,2025-11,CC-MH-210,7100,Medical supplies,non-pay,183.6,Demo posting Medical supplies,DEMO-INV-83351
LW-00002056,2025-11-28,2025-11,CC-URG-401,7100,Medical supplies,non-pay,82.75,Demo posting Medical supplies,DEMO-INV-55344
LW-00002057,2025-11-03,2025-11,CC-URG-401,7100,Medical supplies,non-pay,2077.45,Demo posting Medical supplies,DEMO-INV-16841
LW-00002058,2025-11-13,2025-11,CC-URG-401,7100,Medical supplies,non-pay,288.32,Demo posting Medical supplies,DEMO-INV-27207
LW-00002059,2025-11-04,2025-11,CC-PAL-330,6100,Agency nursing,pay,1306.94,Demo posting Agency nursing,DEMO-INV-42599
LW-00002060,2025-11-07,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,945.21,Demo posting Medical supplies,DEMO-INV-53582
LW-00002061,2025-11-04,2025-11,CC-URG-401,7100,Medical supplies,non-pay,1004.99,Demo posting Medical supplies,DEMO-INV-69235
LW-00002062,2025-11-02,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,527.06,Demo posting Medical supplies,DEMO-INV-88995
LW-00002063,2025-11-10,2025-11,CC-CORP-900,6100,Agency nursing,pay,309.22,Demo posting Agency nursing,DEMO-INV-37102
LW-00002064,2025-11-13,2025-11,CC-URG-401,6200,Bank staff,pay,1701.77,Demo posting Bank staff,DEMO-INV-45686
LW-00002065,2025-11-27,2025-11,CC-URG-401,6200,Bank staff,pay,597.98,Demo posting Bank staff,DEMO-INV-47084
LW-00002066,2025-11-28,2025-11,CC-CORP-900,7200,Equipment,non-pay,2371.61,Demo posting Equipment,DEMO-INV-19005
LW-00002067,2025-11-12,2025-11,CC-PAL-330,7100,Medical supplies,non-pay,251.8,Demo posting Medical supplies,DEMO-INV-60301
